2021:01:29 00:05:22.820 INFO  --- [main] n.b.a.b.AgensBrowserBundleApplication : Starting AgensBrowserBundleApplication on 8MJ3YWM186Z7QBR with PID 18940 (C:\Users\Administrator\Desktop\20210117\agens_graph\AgensGraph\target\classes started by Administrator in C:\Users\Administrator\Desktop\20210117\agens_graph\AgensGraph) 
2021:01:29 00:05:26.291 INFO  --- [main] o.h.annotations.common.Version : HCANN000001: Hibernate Commons Annotations {5.0.1.Final} 
2021:01:29 00:05:26.557 INFO  --- [main] org.hibernate.dialect.Dialect : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect 
2021:01:29 00:05:27.380 INFO  --- [main] o.h.tool.hbm2ddl.SchemaUpdate : HHH000228: Running hbm2ddl schema update 
2021:01:29 00:05:27.506 INFO  --- [main] o.s.o.j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default' 
2021:01:29 00:05:28.341 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/auth/disconnect],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.AuthController.disconnect(javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.342 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/auth/connect],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.AuthController.connectRequest(javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.342 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/auth/valid],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.AuthController.connectValid(javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.343 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/auth/clients],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.AuthController.listClients(javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.343 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/auth/refresh],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.AuthController.connectRefresh(javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.344 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/core/query],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.web.context.request.async.WebAsyncTask<org.springframework.http.ResponseEntity<?>> net.bitnine.agensbrowser.bundle.controller.CoreController.doQuery(java.lang.String,java.lang.String,javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.345 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/core/meta],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.CoreController.getMeta(java.lang.String,javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.345 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/core/command],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.web.context.request.async.WebAsyncTask<org.springframework.http.ResponseEntity<?>> net.bitnine.agensbrowser.bundle.controller.CoreController.doCommand(java.lang.String,java.lang.String,java.lang.String,java.lang.String,javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.351 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/manager/projects/delete/{id}],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.ManagerController.deleteProjectById(java.lang.Integer,javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.352 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/manager/projects/all],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.ManagerController.getProjectsAll(javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.352 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/manager/projects],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.ManagerController.getProjects(javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.352 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/manager/projects/save],methods=[POST],consumes=[application/json;charset=utf-8],produces=[application/json;charset=utf-8]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.ManagerController.saveProject(net.bitnine.agensbrowser.bundle.message.ProjectDto,javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.353 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/manager/projects/{id}],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.ManagerController.getProjectById(java.lang.Integer,javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.353 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/manager/logs/all],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.ManagerController.getLogsAll(javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.353 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/manager/logs],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.ManagerController.getLogs(javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.353 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/manager/logs/{id}],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.ManagerController.getLogById(java.lang.Integer,javax.servlet.http.HttpServletRequest,org.springframework.mobile.device.Device) throws java.lang.InterruptedException 
2021:01:29 00:05:28.355 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/test/timeout],methods=[GET],produces=[application/json;charset=utf-8]}" onto public org.springframework.web.context.request.async.WebAsyncTask<org.springframework.http.ResponseEntity<?>> net.bitnine.agensbrowser.bundle.controller.TestController.getNowWithTimeout() 
2021:01:29 00:05:28.355 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/test/hello],methods=[GET],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.TestController.sayHello(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.springframework.mobile.device.Device) 
2021:01:29 00:05:28.355 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/test/query],methods=[GET],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.TestController.doQuery(java.lang.String,javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.springframework.mobile.device.Device) 
2021:01:29 00:05:28.356 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/api/test/meta],methods=[GET],produces=[application/json]}" onto public org.springframework.http.ResponseEntity<?> net.bitnine.agensbrowser.bundle.controller.TestController.getMeta(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,org.springframework.mobile.device.Device) 
2021:01:29 00:05:28.356 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error]}" onto public java.util.Map<java.lang.String, java.lang.Object> net.bitnine.agensbrowser.bundle.exception.ErrorRestController.error(javax.servlet.http.HttpServletRequest) 
2021:01:29 00:05:28.383 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Root mapping to handler of type [class org.springframework.web.servlet.mvc.ParameterizableViewController] 
2021:01:29 00:05:28.402 INFO  --- [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2021:01:29 00:05:28.490 INFO  --- [main] o.s.w.s.m.m.a.RequestMappingHandlerAdapter : Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@139982de: startup date [Fri Jan 29 00:05:22 CST 2021]; root of context hierarchy 
2021:01:29 00:05:29.133 INFO  --- [main] o.s.j.e.a.AnnotationMBeanExporter : Registering beans for JMX exposure on startup 
2021:01:29 00:05:29.134 INFO  --- [main] o.s.j.e.a.AnnotationMBeanExporter : Bean with name 'outerDataSource' has been autodetected for JMX exposure 
2021:01:29 00:05:29.141 INFO  --- [main] o.s.j.e.a.AnnotationMBeanExporter : Located MBean 'outerDataSource': registering with JMX server as MBean [com.zaxxer.hikari:name=outerDataSource,type=HikariDataSource] 
2021:01:29 00:05:29.152 INFO  --- [main] o.s.s.c.ThreadPoolTaskScheduler : Initializing ExecutorService  
2021:01:29 00:05:29.209 INFO  --- [main] o.s.b.c.e.u.UndertowEmbeddedServletContainer : Undertow started on port(s) 8085 (http) 
2021:01:29 00:05:29.214 INFO  --- [main] n.b.a.b.AgensBrowserBundleApplication : Started AgensBrowserBundleApplication in 7.404 seconds (JVM running for 15.592) 
2021:01:29 00:05:29.233 INFO  --- [main] com.zaxxer.hikari.HikariDataSource : agensHikariCP - Starting... 
2021:01:29 00:05:29.582 INFO  --- [main] com.zaxxer.hikari.pool.PoolBase : agensHikariCP - Driver does not support get/set network timeout for connections. (这个 org.postgresql.jdbc.PgConnection.getNetworkTimeout() 方法尚未被实作。) 
2021:01:29 00:05:29.605 INFO  --- [main] com.zaxxer.hikari.HikariDataSource : agensHikariCP - Start completed. 
2021:01:29 00:08:04.809 INFO  --- [XNIO-2 task-1] io.undertow.servlet : Initializing Spring FrameworkServlet 'dispatcherServlet' 
2021:01:29 00:08:04.810 INFO  --- [XNIO-2 task-1] o.s.web.servlet.DispatcherServlet : FrameworkServlet 'dispatcherServlet': initialization started 
2021:01:29 00:08:04.835 INFO  --- [XNIO-2 task-1] o.s.web.servlet.DispatcherServlet : FrameworkServlet 'dispatcherServlet': initialization completed in 24 ms 
2021:01:29 00:08:07.061 INFO  --- [XNIO-2 task-2] n.b.a.b.controller.AuthController : //api/auth/valid?ssid=02d7bc65-221c-4f90-a5d2-596b2de97e8c 
2021:01:29 00:08:07.434 INFO  --- [XNIO-2 task-3] n.b.a.b.controller.AuthController : //api/auth/connect?addr=0:0:0:0:0:0:0:1 
2021:01:29 00:08:14.438 INFO  --- [XNIO-2 task-4] n.b.a.b.controller.AuthController : //api/auth/valid?ssid=cea6baca-3e80-4252-b2a0-4b01eda3b7e1 
2021:01:29 00:08:14.615 INFO  --- [XNIO-2 task-5] n.b.a.b.controller.CoreController : //api/core/meta 
